Zip Code,Mean Income
99330,69285.71429
99336,68538.42635
99337,88304.1958
99338,123373.7245
99341,74242.42424
99343,68287.03704
99344,62079.40781
99347,74747.47475
99348,63725.4902
99349,57065.21739
99350,78324.46809
99352,110318.4323
99353,112500
99354,94163.68515
99356,47500
99357,59688.99522
99360,83076.92308
99361,84259.25926
99362,83042.63566
99371,54166.66667
99401,71428.57143
99402,87058.82353
99403,76525.42373
99999,89708.80212
